Date,Region,City,Category,Product,Customer Type,Payment Method,Delivery Status,Salesperson,Quantity,Units Sold,Unit Price,Revenue,Return Status,Return Amount
20-04-2025,East,Kolkata,Electronics,Tablet,Returning,Card,Pending,Rohit,7,7,2673.3,18713.1,No,0
30-11-2025,North,Delhi,Groceries,Rice,New,UPI,Delivered,Karan,8,8,3987.7,31901.6,No,0
08-07-2024,West,Mumbai,Fashion,Jeans,New,Net Banking,Pending,Amit,8,8,4818.34,38546.72,No,0
17-11-2025,North,Chandigarh,Fashion,Shirt,Returning,Card,Pending,Sneha,7,7,4097.17,28680.19,No,0
16-07-2025,South,Chennai,Home,Table,New,Card,Delivered,Rohit,7,7,3226.13,22582.91,No,0
20-07-2025,South,Bangalore,Electronics,Phone,Returning,Net Banking,Delivered,Rohit,9,9,3989.34,35904.06,No,0
31-08-2024,North,Delhi,Electronics,Tablet,New,UPI,Pending,Karan,8,8,2114.04,16912.32,No,0
19-05-2025,South,Bangalore,Fashion,Shirt,Returning,Cash,Shipped,Karan,8,8,3872.73,30981.84,No,0
10-05-2024,South,Bangalore,Groceries,Rice,New,Net Banking,Shipped,Sneha,5,5,1580.1,7900.5,No,0
29-04-2025,East,Kolkata,Fashion,Jeans,New,Net Banking,Delivered,Karan,4,4,2176.32,8705.28,No,0
08-10-2025,West,Pune,Electronics,Laptop,Returning,UPI,Delivered,Priya,2,2,3856.62,7713.24,No,0
21-01-2024,West,Pune,Groceries,Rice,New,UPI,Shipped,Sneha,7,7,2974.38,20820.66,No,0
15-06-2024,South,Bangalore,Electronics,Phone,New,Cash,Shipped,Amit,3,3,4359.37,13078.11,No,0
30-09-2024,East,Kolkata,Electronics,Phone,Returning,Cash,Shipped,Rohit,5,5,569,2845,Yes,2030.13
22-01-2025,East,Bhubaneswar,Fashion,Jeans,Returning,Net Banking,Delivered,Amit,7,7,2778.82,19451.74,No,0
23-08-2025,North,Chandigarh,Home,Chair,New,UPI,Shipped,Karan,9,9,2534.16,22807.44,No,0
11-11-2024,East,Bhubaneswar,Sports,Ball,Returning,Card,Delivered,Rohit,3,3,3025.53,9076.59,No,0
14-01-2024,East,Kolkata,Groceries,Rice,Returning,Cash,Shipped,Amit,6,6,2284.38,13706.28,No,0
29-08-2024,West,Pune,Home,Table,Returning,Cash,Shipped,Amit,7,7,1771.34,12399.38,No,0
11-12-2024,North,Delhi,Groceries,Milk,Returning,UPI,Delivered,Priya,4,4,3649.26,14597.04,No,0
18-07-2025,North,Delhi,Home,Table,New,Card,Delivered,Rohit,7,7,3885.85,27200.95,No,0
05-12-2024,West,Mumbai,Home,Table,Returning,Net Banking,Shipped,Priya,5,5,4481.54,22407.7,No,0
01-04-2024,West,Mumbai,Sports,Shoes,New,UPI,Pending,Amit,8,8,1898.08,15184.64,No,0
01-01-2025,West,Pune,Home,Table,Returning,UPI,Shipped,Rohit,7,7,440.18,3081.26,No,0
30-03-2025,South,Bangalore,Home,Table,New,Net Banking,Delivered,Priya,2,2,3381.05,6762.1,Yes,4815.53
03-03-2025,East,Kolkata,Fashion,Shirt,Returning,UPI,Delivered,Amit,8,8,4412.39,35299.12,No,0
23-05-2025,West,Pune,Groceries,Rice,New,Card,Pending,Karan,6,6,1231.06,7386.36,No,0
04-02-2024,North,Chandigarh,Groceries,Oil,Returning,UPI,Shipped,Sneha,6,6,3380.49,20282.94,No,0
24-07-2024,North,Chandigarh,Electronics,Tablet,Returning,Cash,Delivered,Rohit,2,2,1878.43,3756.86,No,0
21-03-2024,East,Kolkata,Groceries,Oil,New,Cash,Pending,Amit,7,7,2379.51,16656.57,Yes,10824.06
15-07-2025,East,Kolkata,Electronics,Phone,New,Cash,Shipped,Rohit,4,4,4812.16,19248.64,No,0
22-01-2025,West,Pune,Home,Table,New,Net Banking,Shipped,Sneha,9,9,935.34,8418.06,No,0
02-01-2024,South,Chennai,Home,Table,Returning,Net Banking,Shipped,Amit,9,9,4126.85,37141.65,Yes,16367.67
24-01-2025,West,Mumbai,Groceries,Rice,New,Net Banking,Pending,Karan,8,8,3997.7,31981.6,No,0
19-07-2025,West,Pune,Sports,Ball,Returning,Card,Delivered,Karan,7,7,2056.65,14396.55,No,0
15-04-2024,North,Delhi,Sports,Bat,New,Cash,Pending,Karan,5,5,3712.18,18560.9,No,0
21-04-2025,South,Chennai,Home,Lamp,New,UPI,Delivered,Karan,1,1,4225.96,4225.96,No,0
03-12-2025,South,Bangalore,Sports,Bat,New,Card,Shipped,Sneha,6,6,1359.53,8157.18,No,0
05-02-2025,West,Pune,Electronics,Phone,New,Cash,Shipped,Rohit,1,1,3081.58,3081.58,No,0
30-12-2025,West,Pune,Fashion,Shoes,Returning,Cash,Delivered,Sneha,4,4,3572.85,14291.4,Yes,6323.98
09-07-2025,East,Bhubaneswar,Electronics,Tablet,New,UPI,Pending,Priya,2,2,1774.21,3548.42,No,0
10-06-2024,East,Bhubaneswar,Fashion,Jeans,New,Net Banking,Delivered,Rohit,2,2,4691.09,9382.18,No,0
20-07-2024,North,Chandigarh,Fashion,Shoes,Returning,Cash,Delivered,Priya,3,3,2045.21,6135.63,No,0
26-09-2024,South,Bangalore,Home,Chair,New,UPI,Shipped,Priya,4,4,4379.35,17517.4,No,0
27-09-2024,South,Chennai,Sports,Shoes,Returning,Card,Shipped,Karan,6,6,2535.12,15210.72,No,0
31-03-2025,South,Chennai,Home,Table,New,Card,Pending,Rohit,5,5,2016.11,10080.55,No,0
06-04-2025,South,Bangalore,Electronics,Phone,New,Cash,Pending,Rohit,1,1,670.2,670.2,No,0
27-12-2025,South,Bangalore,Groceries,Oil,New,Card,Shipped,Amit,3,3,3404.09,10212.27,No,0
08-09-2024,South,Chennai,Electronics,Tablet,Returning,Card,Shipped,Rohit,6,6,792.26,4753.56,No,0
02-12-2025,East,Bhubaneswar,Fashion,Shoes,New,Card,Pending,Rohit,9,9,1680.39,15123.51,Yes,4885.39
22-10-2024,North,Chandigarh,Groceries,Oil,New,Net Banking,Delivered,Sneha,3,3,1795.89,5387.67,No,0
25-12-2025,East,Kolkata,Groceries,Rice,Returning,Card,Pending,Amit,9,9,2918.3,26264.7,No,0
20-12-2025,West,Mumbai,Electronics,Laptop,Returning,Card,Shipped,Karan,1,1,4621.51,4621.51,No,0
03-12-2024,South,Bangalore,Home,Lamp,New,Cash,Pending,Sneha,6,6,4163.73,24982.38,No,0
22-02-2024,West,Pune,Fashion,Jeans,Returning,UPI,Delivered,Priya,3,3,2053.45,6160.35,No,0
04-08-2024,North,Chandigarh,Home,Lamp,New,UPI,Shipped,Karan,5,5,696.63,3483.15,No,0
06-07-2024,West,Mumbai,Home,Chair,Returning,UPI,Delivered,Priya,4,4,762.31,3049.24,No,0
14-01-2025,South,Bangalore,Groceries,Rice,New,Net Banking,Shipped,Amit,4,4,2253.61,9014.44,No,0
07-05-2025,East,Kolkata,Sports,Bat,Returning,Card,Shipped,Sneha,6,6,101.63,609.78,Yes,415.9
10-02-2024,North,Delhi,Fashion,Shirt,New,Card,Shipped,Rohit,7,7,844.92,5914.44,Yes,4877.1
05-06-2024,West,Mumbai,Home,Table,Returning,Card,Pending,Rohit,9,9,385,3465,No,0
15-01-2024,East,Bhubaneswar,Fashion,Shoes,Returning,UPI,Shipped,Rohit,8,8,1557.04,12456.32,No,0
05-03-2024,East,Bhubaneswar,Sports,Ball,Returning,Cash,Shipped,Rohit,9,9,797.02,7173.18,No,0
04-06-2025,West,Pune,Home,Lamp,New,Card,Shipped,Sneha,3,3,971.06,2913.18,No,0
09-12-2024,South,Chennai,Home,Table,New,UPI,Shipped,Priya,1,1,2596.17,2596.17,No,0
08-05-2024,East,Bhubaneswar,Sports,Shoes,New,UPI,Shipped,Priya,1,1,1239.96,1239.96,No,0
09-10-2025,South,Bangalore,Fashion,Shoes,Returning,UPI,Shipped,Sneha,4,4,3313.05,13252.2,No,0
16-04-2025,East,Kolkata,Home,Chair,Returning,Cash,Delivered,Sneha,2,2,740.48,1480.96,No,0
03-03-2024,North,Chandigarh,Groceries,Milk,Returning,Card,Delivered,Rohit,3,3,1902.02,5706.06,No,0
18-05-2024,East,Kolkata,Sports,Ball,Returning,Card,Shipped,Amit,7,7,3694.71,25862.97,No,0
13-05-2025,East,Bhubaneswar,Electronics,Laptop,Returning,Net Banking,Delivered,Karan,7,7,2139.15,14974.05,No,0
15-08-2025,West,Pune,Fashion,Shoes,New,Cash,Shipped,Rohit,6,6,3972.65,23835.9,No,0
26-01-2025,South,Bangalore,Fashion,Jeans,Returning,Card,Shipped,Priya,7,7,771.84,5402.88,No,0
05-11-2025,South,Chennai,Electronics,Phone,Returning,Cash,Shipped,Amit,1,1,1685.15,1685.15,No,0
22-02-2025,South,Chennai,Groceries,Milk,Returning,UPI,Delivered,Amit,5,5,1074.4,5372,Yes,1257.62
15-10-2024,West,Mumbai,Groceries,Milk,Returning,UPI,Shipped,Sneha,1,1,637.71,637.71,No,0
13-01-2025,East,Bhubaneswar,Fashion,Shoes,Returning,UPI,Shipped,Sneha,5,5,4237.35,21186.75,No,0
04-05-2025,East,Kolkata,Groceries,Oil,Returning,Cash,Shipped,Priya,4,4,4336.84,17347.36,No,0
18-08-2024,West,Pune,Fashion,Shoes,Returning,Cash,Pending,Amit,2,2,2432.49,4864.98,No,0
10-02-2024,North,Delhi,Sports,Shoes,New,UPI,Shipped,Amit,4,4,4311.87,17247.48,No,0
28-01-2024,South,Chennai,Home,Table,Returning,Net Banking,Shipped,Amit,1,1,4781.14,4781.14,No,0
14-05-2024,West,Mumbai,Home,Chair,New,Card,Pending,Amit,9,9,4719.87,42478.83,No,0
19-07-2024,East,Bhubaneswar,Fashion,Shoes,Returning,Cash,Shipped,Rohit,1,1,4220.27,4220.27,Yes,3888.6
02-02-2024,North,Delhi,Fashion,Jeans,New,UPI,Shipped,Amit,5,5,4143.15,20715.75,No,0
17-02-2024,South,Bangalore,Home,Table,Returning,Net Banking,Shipped,Amit,8,8,4486.08,35888.64,No,0
17-05-2025,North,Delhi,Fashion,Shoes,Returning,Card,Delivered,Karan,1,1,426.59,426.59,No,0
10-02-2025,West,Mumbai,Fashion,Jeans,New,Cash,Shipped,Karan,3,3,617.9,1853.7,No,0
27-07-2025,East,Kolkata,Fashion,Jeans,Returning,Card,Shipped,Sneha,7,7,3433.12,24031.84,Yes,6436.53
28-12-2025,North,Chandigarh,Fashion,Shirt,New,Net Banking,Delivered,Sneha,1,1,453.21,453.21,Yes,95.03
08-04-2024,East,Bhubaneswar,Electronics,Laptop,New,Card,Delivered,Rohit,5,5,2592.04,12960.2,No,0
14-11-2025,East,Bhubaneswar,Fashion,Jeans,Returning,Card,Shipped,Rohit,4,4,1813.55,7254.2,No,0
26-12-2025,North,Chandigarh,Fashion,Jeans,Returning,Net Banking,Shipped,Sneha,7,7,3940.83,27585.81,No,0
30-06-2025,South,Chennai,Fashion,Jeans,New,Cash,Shipped,Priya,5,5,2793.12,13965.6,No,0
04-09-2025,South,Chennai,Groceries,Milk,Returning,Cash,Delivered,Sneha,8,8,1398.73,11189.84,Yes,2973.56
06-04-2025,East,Kolkata,Electronics,Phone,New,Net Banking,Shipped,Karan,1,1,1547.68,1547.68,No,0
04-10-2025,West,Pune,Fashion,Jeans,New,Cash,Shipped,Sneha,9,9,4882.36,43941.24,No,0
05-01-2024,North,Chandigarh,Home,Lamp,New,Net Banking,Shipped,Karan,3,3,694.79,2084.37,No,0
05-08-2024,West,Mumbai,Electronics,Phone,Returning,Cash,Pending,Amit,9,9,3255.13,29296.17,No,0
17-05-2025,North,Delhi,Groceries,Milk,New,Net Banking,Delivered,Karan,2,2,1678.86,3357.72,No,0
01-02-2025,East,Kolkata,Groceries,Rice,New,Cash,Shipped,Sneha,8,8,658.39,5267.12,No,0
27-01-2025,East,Bhubaneswar,Fashion,Shoes,Returning,Net Banking,Shipped,Rohit,2,2,727.67,1455.34,No,0
25-07-2024,South,Chennai,Home,Chair,New,Card,Delivered,Sneha,8,8,3032.8,24262.4,No,0
15-01-2024,East,Bhubaneswar,Electronics,Laptop,Returning,Net Banking,Delivered,Amit,8,8,2217.18,17737.44,No,0
07-07-2025,West,Mumbai,Groceries,Milk,Returning,Card,Pending,Amit,9,9,902.05,8118.45,No,0
05-04-2025,South,Chennai,Fashion,Jeans,New,Card,Shipped,Karan,4,4,695.36,2781.44,No,0
21-11-2025,West,Mumbai,Home,Chair,Returning,UPI,Pending,Karan,1,1,3264.47,3264.47,No,0
28-07-2025,West,Pune,Home,Table,Returning,Net Banking,Delivered,Amit,7,7,4408.42,30858.94,No,0
28-08-2024,South,Bangalore,Home,Chair,Returning,Card,Delivered,Rohit,2,2,3216.75,6433.5,No,0
17-07-2025,West,Mumbai,Sports,Shoes,Returning,UPI,Shipped,Karan,8,8,3766.14,30129.12,No,0
05-04-2024,North,Chandigarh,Groceries,Oil,New,Cash,Delivered,Karan,7,7,3315.19,23206.33,No,0
29-04-2025,South,Bangalore,Sports,Ball,New,UPI,Pending,Rohit,6,6,3790.62,22743.72,No,0
10-02-2025,South,Bangalore,Sports,Bat,New,UPI,Delivered,Amit,2,2,628.92,1257.84,No,0
18-08-2024,West,Mumbai,Sports,Bat,Returning,Net Banking,Pending,Karan,4,4,4107.15,16428.6,No,0
16-10-2025,West,Mumbai,Sports,Ball,New,UPI,Pending,Amit,3,3,838.31,2514.93,No,0
19-06-2024,North,Chandigarh,Electronics,Tablet,Returning,Cash,Delivered,Priya,6,6,2756.96,16541.76,No,0
24-06-2025,East,Kolkata,Home,Lamp,New,Card,Pending,Sneha,8,8,3098.51,24788.08,No,0
05-02-2024,West,Pune,Fashion,Shoes,Returning,Cash,Shipped,Sneha,7,7,3475.54,24328.78,No,0
08-06-2025,North,Delhi,Sports,Bat,New,Card,Pending,Rohit,9,9,3829.5,34465.5,No,0
08-06-2024,South,Chennai,Groceries,Milk,New,Card,Shipped,Priya,8,8,1308.73,10469.84,No,0
29-11-2025,East,Bhubaneswar,Groceries,Milk,Returning,Net Banking,Shipped,Rohit,1,1,1461.72,1461.72,No,0
30-08-2024,East,Bhubaneswar,Sports,Bat,Returning,Cash,Pending,Amit,2,2,1099.77,2199.54,No,0
26-03-2024,North,Chandigarh,Groceries,Rice,Returning,Card,Shipped,Karan,7,7,3113.39,21793.73,No,0
31-07-2025,East,Bhubaneswar,Electronics,Phone,Returning,Net Banking,Pending,Sneha,9,9,2815.71,25341.39,Yes,20495.93
12-11-2025,South,Chennai,Groceries,Rice,Returning,Card,Shipped,Sneha,6,6,4180.13,25080.78,Yes,20055.5
10-07-2025,North,Chandigarh,Home,Lamp,Returning,Cash,Shipped,Karan,5,5,1902.91,9514.55,No,0
27-07-2025,North,Chandigarh,Groceries,Oil,Returning,Cash,Delivered,Karan,3,3,4225.65,12676.95,No,0
07-10-2025,West,Pune,Home,Lamp,Returning,UPI,Shipped,Rohit,3,3,4982.04,14946.12,No,0
28-01-2024,North,Delhi,Fashion,Shirt,Returning,Card,Shipped,Karan,4,4,3638.15,14552.6,No,0
11-09-2025,South,Bangalore,Fashion,Jeans,Returning,Cash,Shipped,Amit,3,3,775.33,2325.99,No,0
09-07-2025,East,Kolkata,Electronics,Phone,Returning,Cash,Pending,Priya,6,6,3508.53,21051.18,Yes,14644.71
05-12-2024,East,Bhubaneswar,Home,Table,Returning,UPI,Shipped,Amit,4,4,988.46,3953.84,No,0
26-11-2024,East,Kolkata,Electronics,Tablet,Returning,Net Banking,Delivered,Sneha,1,1,2982.19,2982.19,No,0
01-10-2025,North,Chandigarh,Fashion,Jeans,Returning,UPI,Delivered,Priya,3,3,417.78,1253.34,No,0
20-05-2025,North,Delhi,Sports,Shoes,New,Net Banking,Shipped,Priya,7,7,3544.42,24810.94,Yes,14620.54
13-12-2024,West,Pune,Home,Chair,Returning,Cash,Shipped,Sneha,2,2,3050.51,6101.02,Yes,2792.35
17-04-2025,East,Kolkata,Home,Lamp,New,Card,Delivered,Priya,3,3,386.9,1160.7,No,0
18-08-2024,West,Mumbai,Groceries,Rice,Returning,Card,Delivered,Priya,6,6,1128.23,6769.38,No,0
08-07-2024,West,Pune,Sports,Shoes,New,UPI,Pending,Priya,3,3,2256.98,6770.94,No,0
12-08-2024,North,Chandigarh,Sports,Bat,New,Net Banking,Pending,Rohit,7,7,3703.98,25927.86,No,0
19-01-2025,West,Pune,Fashion,Jeans,Returning,UPI,Pending,Sneha,4,4,406.46,1625.84,No,0
11-01-2025,West,Pune,Groceries,Rice,New,UPI,Delivered,Rohit,9,9,4672.26,42050.34,No,0
09-10-2024,North,Chandigarh,Sports,Shoes,New,Card,Delivered,Sneha,1,1,3224.01,3224.01,No,0
24-09-2025,East,Bhubaneswar,Sports,Shoes,Returning,UPI,Shipped,Priya,6,6,4956.52,29739.12,No,0
19-09-2025,South,Chennai,Groceries,Milk,Returning,Net Banking,Shipped,Karan,7,7,2902.17,20315.19,No,0
15-09-2024,North,Chandigarh,Home,Chair,Returning,UPI,Pending,Karan,9,9,2871.19,25840.71,No,0
24-12-2024,West,Pune,Sports,Shoes,Returning,Net Banking,Shipped,Rohit,3,3,228.36,685.08,Yes,592.84
10-12-2025,West,Mumbai,Electronics,Laptop,New,Card,Shipped,Rohit,6,6,2638.59,15831.54,No,0
31-03-2025,West,Pune,Home,Lamp,Returning,Cash,Shipped,Amit,5,5,375.07,1875.35,No,0
14-02-2025,East,Kolkata,Home,Lamp,Returning,UPI,Delivered,Sneha,3,3,1946.88,5840.64,No,0
10-10-2025,South,Chennai,Groceries,Oil,Returning,Net Banking,Delivered,Rohit,4,4,4032.95,16131.8,No,0
13-11-2024,West,Mumbai,Electronics,Laptop,New,UPI,Pending,Sneha,5,5,3559.49,17797.45,No,0
07-11-2025,North,Delhi,Electronics,Laptop,New,Cash,Pending,Karan,7,7,4529.18,31704.26,No,0
12-08-2024,South,Bangalore,Fashion,Shirt,New,Net Banking,Pending,Rohit,8,8,3674.59,29396.72,No,0
21-08-2024,North,Chandigarh,Home,Chair,Returning,Card,Delivered,Amit,6,6,1203.6,7221.6,No,0
14-11-2025,West,Pune,Groceries,Rice,New,UPI,Delivered,Priya,9,9,3781.74,34035.66,No,0
25-10-2025,North,Delhi,Home,Lamp,New,UPI,Shipped,Amit,4,4,165.67,662.68,No,0
08-01-2025,West,Mumbai,Home,Table,Returning,Cash,Shipped,Priya,6,6,1382.36,8294.16,No,0
02-11-2025,East,Kolkata,Sports,Shoes,Returning,Cash,Shipped,Amit,8,8,4876.69,39013.52,No,0
30-08-2025,East,Bhubaneswar,Home,Chair,New,UPI,Pending,Karan,9,9,3905.88,35152.92,Yes,20742.22
16-04-2025,South,Chennai,Sports,Ball,Returning,Card,Shipped,Priya,8,8,327.85,2622.8,No,0
20-08-2024,West,Pune,Home,Lamp,Returning,Net Banking,Pending,Rohit,9,9,1795.01,16155.09,No,0
22-11-2025,North,Delhi,Home,Table,Returning,Net Banking,Pending,Rohit,7,7,523.48,3664.36,No,0
22-04-2024,North,Chandigarh,Fashion,Jeans,Returning,UPI,Pending,Rohit,8,8,2786.77,22294.16,No,0
11-05-2025,East,Bhubaneswar,Sports,Ball,Returning,UPI,Pending,Priya,7,7,2027.89,14195.23,No,0
17-03-2025,South,Chennai,Electronics,Laptop,Returning,Card,Shipped,Priya,8,8,1374.77,10998.16,No,0
17-07-2025,South,Bangalore,Sports,Ball,New,Cash,Pending,Karan,5,5,1357,6785,No,0
24-09-2024,West,Mumbai,Electronics,Phone,Returning,Card,Pending,Sneha,5,5,2870.12,14350.6,No,0
24-05-2025,North,Delhi,Sports,Ball,New,Cash,Pending,Amit,9,9,4740.48,42664.32,No,0
20-01-2025,East,Bhubaneswar,Home,Chair,Returning,Card,Delivered,Rohit,9,9,207.97,1871.73,No,0
21-01-2025,North,Delhi,Fashion,Shoes,Returning,Net Banking,Delivered,Priya,9,9,4268.02,38412.18,No,0
22-04-2024,South,Chennai,Home,Table,Returning,Cash,Pending,Sneha,1,1,4904.53,4904.53,No,0
04-09-2025,East,Bhubaneswar,Groceries,Rice,Returning,Cash,Delivered,Rohit,9,9,3979.33,35813.97,No,0
16-09-2025,West,Pune,Fashion,Jeans,Returning,Net Banking,Shipped,Amit,2,2,500.45,1000.9,No,0
21-03-2024,North,Delhi,Home,Lamp,New,Net Banking,Pending,Priya,1,1,2200.29,2200.29,No,0
29-11-2025,South,Bangalore,Home,Table,Returning,UPI,Shipped,Amit,6,6,4264.88,25589.28,No,0
22-04-2024,South,Bangalore,Home,Lamp,Returning,Card,Pending,Rohit,2,2,4323.74,8647.48,No,0
02-01-2024,North,Chandigarh,Home,Table,New,Cash,Delivered,Amit,7,7,2772.62,19408.34,Yes,11839.13
03-10-2025,East,Bhubaneswar,Fashion,Shirt,New,Net Banking,Shipped,Karan,3,3,354.59,1063.77,No,0
07-08-2024,East,Kolkata,Groceries,Rice,Returning,Card,Shipped,Priya,7,7,4373.46,30614.22,No,0
19-07-2025,North,Chandigarh,Electronics,Laptop,New,UPI,Pending,Rohit,4,4,3808.08,15232.32,No,0
12-08-2024,North,Delhi,Sports,Ball,New,Net Banking,Delivered,Amit,8,8,718.64,5749.12,No,0
19-01-2025,West,Pune,Sports,Shoes,New,Card,Shipped,Rohit,4,4,4365.83,17463.32,No,0
06-02-2025,North,Delhi,Fashion,Jeans,Returning,UPI,Delivered,Rohit,9,9,2844.89,25604.01,No,0
29-09-2025,West,Pune,Groceries,Oil,New,UPI,Pending,Rohit,1,1,233.12,233.12,Yes,133.15
09-05-2024,West,Pune,Sports,Shoes,New,Card,Delivered,Amit,8,8,1483.91,11871.28,No,0
22-02-2024,West,Mumbai,Groceries,Oil,New,UPI,Shipped,Priya,3,3,616.82,1850.46,No,0
14-11-2025,South,Chennai,Sports,Shoes,New,Net Banking,Delivered,Priya,9,9,2047.17,18424.53,No,0
30-12-2025,South,Chennai,Fashion,Shirt,New,Cash,Pending,Rohit,5,5,4825.94,24129.7,No,0
02-11-2025,North,Delhi,Home,Chair,Returning,Card,Delivered,Priya,8,8,1506.98,12055.84,No,0
10-12-2025,West,Mumbai,Home,Table,New,Card,Shipped,Karan,4,4,1454.56,5818.24,No,0
19-02-2025,East,Kolkata,Fashion,Shoes,New,Card,Shipped,Sneha,9,9,2040.26,18362.34,No,0
03-09-2024,West,Mumbai,Home,Table,New,Card,Pending,Amit,8,8,2648.93,21191.44,No,0
14-03-2025,North,Chandigarh,Sports,Ball,New,UPI,Shipped,Amit,6,6,3986.98,23921.88,No,0
21-07-2024,East,Kolkata,Fashion,Shoes,Returning,Card,Pending,Priya,3,3,1879.19,5637.57,No,0
02-07-2024,South,Chennai,Groceries,Oil,New,Cash,Shipped,Sneha,8,8,2584.55,20676.4,No,0
02-05-2024,South,Bangalore,Home,Chair,Returning,Cash,Delivered,Sneha,7,7,1002.7,7018.9,No,0
04-02-2025,East,Kolkata,Groceries,Rice,New,Cash,Delivered,Sneha,5,5,2257.58,11287.9,No,0
20-10-2024,North,Delhi,Home,Chair,New,Card,Shipped,Karan,6,6,4298.68,25792.08,No,0
06-10-2024,South,Bangalore,Groceries,Oil,New,Card,Pending,Sneha,7,7,4838.92,33872.44,No,0
01-09-2025,East,Bhubaneswar,Sports,Ball,New,UPI,Delivered,Sneha,7,7,699.93,4899.51,No,0
16-07-2024,West,Mumbai,Home,Lamp,Returning,Net Banking,Pending,Karan,2,2,913.18,1826.36,No,0
